164,1,0,1,84,64,56,2,85,0,168,0,32,30,160,223
220,1,136,0,4,64,49,2,60,0,154,0,224,29,160,223
64,1,12,1,104,64,56,2,69,0,163,0,64,29,80,223
148,1,136,0,232,63,56,2,83,0,161,0,112,29,64,223
168,1,44,1,8,64,50,2,99,0,146,0,224,29,80,223
192,1,200,0,92,64,49,2,73,0,153,0,32,29,80,223
164,1,236,0,28,64,57,2,57,0,169,0,128,29,96,223
204,1,236,0,96,64,47,2,72,0,158,0,160,29,80,223
168,1,0,1,188,63,26,2,44,0,166,0,16,29,176,223
152,1,196,0,44,64,39,2,95,0,171,0,144,29,80,223
156,1,208,0,180,64,66,2,55,0,181,0,176,29,80,223
136,1,120,0,228,63,55,2,53,0,137,0,64,29,96,223
172,1,232,0,84,64,71,2,74,0,139,0,112,29,96,223
164,1,200,0,228,63,65,2,76,0,176,0,224,29,80,223
212,1,132,0,216,63,57,2,42,0,165,0,176,29,112,223
168,1,128,0,108,64,53,2,92,0,150,0,80,29,96,223
168,1,28,1,36,64,49,2,85,0,166,0,192,29,96,223
220,1,220,0,28,64,77,2,64,0,141,0,128,29,128,223
24,2,216,0,48,64,36,2,82,0,165,0,16,29,80,223
192,1,24,1,120,63,48,2,77,0,171,0,112,29,176,221
112,1,240,0,220,63,54,2,66,0,159,0,112,29,80,223
240,1,148,0,108,64,65,2,56,0,159,0,144,29,112,223
196,1,228,0,176,63,54,2,73,0,151,0,96,29,112,223
200,1,20,1,24,64,35,2,78,0,151,0,32,30,64,223
152,1,168,0,224,63,41,2,72,0,160,0,96,29,112,223
180,1,208,0,44,64,46,2,68,0,150,0,96,29,80,223
4,2,172,0,128,64,61,2,75,0,163,0,160,29,80,223
144,1,152,0,208,63,69,2,67,0,162,0,160,29,112,223
204,1,220,0,176,63,76,2,54,0,170,0,112,29,96,223
56,1,224,0,172,63,70,2,82,0,150,0,96,29,96,223
172,1,76,1,24,64,41,2,65,0,169,0,128,29,80,223
156,1,212,0,140,64,50,2,67,0,158,0,96,29,96,223
0,2,140,0,24,64,17,2,82,0,149,0,64,29,48,222
88,1,200,0,180,63,52,2,100,0,163,0,128,29,80,223
228,1,252,0,224,63,39,2,53,0,188,0,112,29,80,223
144,1,28,1,168,63,46,2,99,0,174,0,144,29,96,223
240,1,192,0,248,63,42,2,68,0,156,0,32,29,64,223
172,1,228,0,252,63,30,2,91,0,178,0,160,29,176,223
120,1,32,1,212,63,65,2,68,0,142,0,160,29,96,223
108,1,228,0,128,64,27,2,57,0,145,0,160,29,112,223
188,1,196,0,68,64,68,2,90,0,167,0,192,29,96,223
192,1,200,0,220,63,52,2,82,0,174,0,112,29,48,223
24,1,164,0,8,64,53,2,86,0,172,0,0,29,160,223
96,1,196,0,152,64,54,2,41,0,171,0,144,29,96,223
208,1,224,0,20,64,56,2,68,0,176,0,160,29,192,223
244,1,248,0,28,64,62,2,81,0,173,0,112,29,64,223
224,1,4,1,108,64,42,2,51,0,155,0,160,29,64,223
108,1,12,1,216,63,47,2,86,0,139,0,96,29,80,223
108,1,12,1,120,64,73,2,83,0,170,0,112,29,128,223
204,1,0,1,20,64,54,2,56,0,159,0,80,29,80,223
